Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-116.75,180.0,top
C10,169.5,-114.25,270.0,top
C11,97.0,-102.475,90.0,top
C12,175.0,-102.475,90.0,top
C13,169.5,-121.25,270.0,top
C14,122.5,-53.52222,270.0,top
C15,149.5,-53.52222,270.0,top
C16,136.0,-68.52222,270.0,top
C2,129.0,-116.75,0.0,top
C3,125.0,-116.75,180.0,top
C4,147.0,-116.75,0.0,top
C5,113.75,-114.25,270.0,top
C6,158.7,-132.3,90.0,top
C7,113.0,-92.132323,270.0,top
C8,101.2,-114.7,270.0,top
C9,161.0,-92.132323,270.0,top
D1,94.05,-49.75,270.0,top
D2,174.25,-122.0,90.0,top
F1,94.8,-40.0,180.0,top
F2,182.74,-40.0,180.0,top
J1,167.25,-129.65,180.0,top
J10,129.2,-42.2,180.0,top
J2,86.5,-69.74,270.0,top
J3,86.4,-91.4,270.0,top
J4,96.8,-129.6,0.0,top
J5,185.8,-84.98,90.0,top
J6,185.8,-96.48,90.0,top
J7,115.86,-42.4,180.0,top
J8,172.04,-42.4,180.0,top
J9,174.25,-130.0,90.0,top
R1,147.5,-123.45,270.0,top
R10,151.95,-123.45,270.0,top
R11,91.8,-122.5,90.0,top
R12,107.0,-114.88,270.0,top
R13,95.45,-122.5,90.0,top
R14,164.5,-122.0,90.0,top
R15,103.5,-100.31,90.0,top
R16,169.0,-100.31,90.0,top
R17,103.02,-108.0,180.0,top
R18,169.6,-107.8,0.0,top
R19,188.6,-47.38,270.0,top
R2,124.5,-123.45,270.0,top
R20,177.5,-114.38,270.0,top
R21,140.8,-45.81,90.0,top
R22,144.8,-38.19,270.0,top
R23,136.0,-59.37,90.0,top
R3,121.0,-71.19,270.0,top
R4,124.5,-71.19,270.0,top
R5,151.0,-71.19,270.0,top
R6,147.5,-71.19,270.0,top
R7,120.5,-92.69,270.0,top
R8,152.0,-100.31,90.0,top
R9,120.3,-123.45,270.0,top
RV1,131.0,-131.25,270.0,top
SW1,89.6,-129.6,270.0,top
V1,136.0,-95.0,0.0,bottom
V2,106.0,-75.0,180.0,bottom
V3,166.0,-75.0,180.0,bottom
